nom,peau,age,description,application,categorie,categorie_name,prix,image,lien
Revitalift Laser X3 Crème de Jour Anti-Age Triple Action FPS 25,sèche,"30-40, 40-50, 50-60 ",Soin Anti-Âge FPS 25,Appliquer tous les matins par mouvements ascendants sur le visage et le cou préalablement nettoyés. Eviter le contour des yeux.,3,Crème de jour,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw966d85d9/ProductImages/OAP6708/3600523456178/3600523456178_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-laser-x3-creme-de-jour-anti-age-triple-action-fps-25/OAP6708.html#tab=conseils-d'application
Revitalift Laser X3 Crème de Nuit Anti-Age Triple Action,sèche,"40-50, 50-60 ",Masque Nuit Anti-rides,Appliquer tous les soirs par mouvements ascendants sur le visage et le cou préalablement nettoyés.,4,Soin de nuit,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwda40c5bc/ProductImages/OAP6192/3600522480082/3600522480082_1_v2.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/revitalift-laser-x3-creme-de-nuit-anti-age-triple-action/OAP6192.html#tab=conseils-d'application
Revitalift Laser X3 Sérum Anti-Âge Peau Neuve,sèche,"40-50, 50-60 ",Sérum peau neuve à l'Acide Glycolique,"Appliquer matin et soir, seul ou avant votre soin Revitalift Laser X3 sur un visage nettoyé. Masser par mouvements ascendants.Eviter le contour des yeux. Soin testé sous contrôle dermatologique Convient à tous types de peaux, même sensibles.",2,Sérum,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3ddcbf4f/ProductImages/OAP5414/3600522249597/3600522249597_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/revitalift-laser-x3-serum-anti-age-peau-neuve/OAP5414.html#tab=conseils-d'application
Revitalift Laser X3 Yeux,sèche,"40-50, 50-60 ",Soin Yeux Anti-rides,S'utilise matin et soir. Presser le tube et déposer une noisette de crème sur le contour de l'œil puis masser à l'aide de l'embout par des mouvements de l'intérieur vers l'extérieur.Presser le tube et déposer une noisette de crème sur le contour de l'œil puis masser à l'aide de l'embout par des mouvements de l'intérieur vers l'extérieur.,5,Soin des yeux,18.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw25af9964/ProductImages/OAP5413/3600522251958/3600522251958_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-yeux/revitalift-laser-x3-yeux/OAP5413.html#tab=conseils-d'application
Revitalift Nuit,"mixte, normale, sèche","40-50, 50-60 ",Crème de Nuit Anti-Rides + Extra-fermeté,"S'utilise tous les soirs sur le visage et le cou bien nettoyés. Pour une meilleure pénétration, s'applique par mouvements circulaires.",4,Soin de nuit,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwf6366f77/ProductImages/OAP5036/3600523082254/3600523082254_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/soin-de-nuit/revitalift-nuit/OAP5036.html#tab=conseils-d'application
Revitalift Sérum Hydratant Lissant,"mixte, normale","40-50, 50-60 ",Sérum hydratant multi-régénérant,"S'utilise tous les jours, matin et soir. Appliquer quelques gouttes du bout des doigts par mouvements ascendants sur le visage bien nettoyé.Routine anti-rides + extra-fermeté conseilléeAppliquer quelques gouttes du bout des doigts par mouvements ascendants sur le visage bien nettoyé.",2,Sérum,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwc5d4afbd/ProductImages/OAP6512/3600523279364/3600523279364_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/revitalift-serum-hydratant-lissant/OAP6512.html#tab=conseils-d'application
Revitalift Soin Hydratant SPF30,"mixte, normale","40-50, 50-60 ",Soin Jour Hydratant FPS30,"S'utilise tous les matins. Appliquer par mouvements circulaires ascendants sur le visage et le cou bien nettoyés, en évitant le contour des yeux.Routine anti-rides + extra-fermeté conseilléeEviter le contact avec les yeux.",3,Crème de jour,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw4b48f3eb/ProductImages/OAP6360/3600522416746/3600522416746_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-soin-hydratant-spf30/OAP6360.html#tab=conseils-d'application
Revitalift Soin Rouge Défatigant Jour,sèche,"30-40, 40-50 ",Soin rouge défatigant Anti-rides,"Chaque matin, appliquer la crème rouge par mouvements ascendants sur le visage et le cou parfaitement nettoyés.Eviter le contact avec les yeux.",3,Crème de jour,13.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw3eeae417/ProductImages/OAP6949/3600523716432/3600523716432_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-soin-rouge-defatigant-jour/OAP6949.html#tab=conseils-d'application
"Revitalift Visage, Contour et Cou","mixte, normale","40-50, 50-60 ","Crème Jour Anti-Rides visage, contour et cou","S'applique tous les matins sur le visage, les contours et le cou. Effectuer des mouvements successifs d'effleurement en partant du cou vers les contours. Puis faire de petits pincements de peau toniques sur les zones d'application. Eviter le contact avec les yeux.Eviter le contact avec les yeux.",3,Crème de jour,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw738901c3/ProductImages/OAP5178/3600521594179/3600521594179_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/creme-de-jour/revitalift-visage--contour-et-cou/OAP5178.html#tab=conseils-d'application
Revitalift Yeux,"mixte, normale, sèche","40-50, 50-60 ",Sérum yeux à l'acide hyaluronique,"S'applique matin et soir.Appliquer directement en partant du coin interne de l'œil vers le coin externe, en tapotant légèrement du bout des doigts.",2,Sérum,10.99,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dw1a76fc93/ProductImages/OAP5037/3600523082261/3600523082261_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/serum-et-ampoules-visage/revitalift-filler-serum-yeux-2-5--acide-hyaluronique-cafeine/OAP7183.html#tab=composition
Sucres de Soin Gommage Purifiant,"grasse, sèche, mixte, normale","20-30, 30-40 ",Gommage purifiant,"Utilisation 3 fois par semaine. Prélever le produit avec des mains sèches, refermer le pot puis appliquer sur un visage propre. Pour une exfoliation plus douce, humidifier légèrement les doigts pour masser le produit. Quand les sucres ont fondu, rincer à l'eau tiède. S'utilise aussi sur les lèvres pour aligner les contours et améliorer la tenue du maquillage.Eviter le contour des yeux. En cas de contact avec les yeux, rincer immédiatement et abondamment avec de l'eau. Eviter le contact avec les textiles",7,Gommage,9.57,https://www.loreal-paris.fr/dw/image/v2/BHHX_PRD/on/demandware.static/-/Sites-lorealparis-fr-catalog/default/dwa6595d86/ProductImages/OAP6516/3600523541973/3600523541973_1.jpg?sw=166&sfrm=jpg&q=70,https://www.loreal-paris.fr/soin/soin-par-categorie/gommage/sucres-de-soin-gommage-purifiant/OAP6516.html#tab=tri-et-qualit%C3%A9s-environnementales
